0,3035.88,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,171.3884,INDEF,179.1032,INDEF,-83.58636,INDEF,INDEF,0,-8.705711,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,1,0,INDEF,INDEF,INDEF,INDEF
0.5209865,2992.333,2.741543,13.97918,9.884772,0.5930699,0.05642572,89.19273,4.007124,171.3884,0.03614886,179.1032,0.0151921,-129.3885,96.15901,0.7431805,0.8495846,-8.690024,9.95E-04,9.95E-04,3035.88,3035.88,-8.705711,-8.705711,1,1,0.04904898,0.06012033,-0.120529,0.1006761,-0.008210821,0.04573357,-0.04761881,0.05587211,13,0,10,0,0.02747396,2
0.5730851,2987.645,3.012674,15.36168,10.86235,0.5908837,0.04673617,89.24473,3.326124,171.4276,0.03275976,179.1142,0.01384073,-156.7593,90.53035,0.5775118,0.8700712,-8.688322,0.001094972,0.001094708,3035.88,3035.88,-8.705711,-8.705711,1,1,0.04181651,0.04611545,-0.09909648,0.06856663,-0.007204835,0.03748396,-0.03901275,0.04207556,13,0,18,0,0.3189635,2
0.6303936,2956.986,4.769275,24.31862,17.19586,0.2846206,0.07322491,89.24473,8.887232,171.4356,0.03228966,179.2077,0.02384598,-251.2033,120.0152,0.4777614,0.8910518,-8.677123,0.001752542,0.001749802,3035.88,3035.88,-8.705711,-8.705711,1,1,0.06061804,0.04430202,-0.08228066,0.05083172,0.01439136,0.02154466,-0.0789484,0.04245035,13,0,13,0,1.347866,2
0.693433,2924.862,6.680473,34.06386,24.08679,0.04843368,0.09927599,80.38764,62.23685,171.4306,0.03618615,179.2813,0.03557812,-314.6391,144.3849,0.4588904,0.9125383,-8.665263,0.002482283,0.002477394,3035.88,3035.88,-8.705711,-8.705711,1,1,0.04834292,0.037778,-0.1027587,0.05556617,-0.04702458,0.02491845,-0.07376155,0.03587483,13,0,10,0,1.182994,2
0.7627763,2904.519,6.85639,34.96087,24.72107,0.03979977,0.07151587,24.14421,54.31948,171.4318,0.02822054,179.3041,0.02838842,-411.7712,126.0491,0.3061145,0.934543,-8.657685,0.002565742,0.002560273,3035.88,3035.88,-8.705711,-8.705711,1,1,-0.05697847,0.0303326,0.04679099,0.0278248,0.0681802,0.02385831,0.01736563,0.01224114,13,0,10,0,0.04682268,2
0.839054,2871.988,6.139056,31.30316,22.13468,0.03780013,0.05540053,20.98487,44.26001,171.4365,0.02403255,179.2986,0.02415497,-433.2271,100.6189,0.2322545,0.9570783,-8.645456,0.002323286,0.00231846,3035.88,3035.88,-8.705711,-8.705711,1,1,-0.03542609,0.0232612,0.03148879,0.02215645,0.05674872,0.01815011,0.001546769,0.01190858,13,0,24,0,1.190837,2
0.9229594,2838.697,6.878806,35.07516,24.80189,0.05559307,0.05371922,7.3469,29.44801,171.4314,0.02562189,179.2955,0.0262617,-445.9453,102.8506,0.2306351,0.980157,-8.632797,0.002633946,0.002628111,3035.88,3035.88,-8.705711,-8.705711,1,1,0.01197167,0.02612307,0.00767356,0.02503316,0.02395645,0.01603496,-0.05904878,0.01979019,13,0,10,0,1.755189,2
1.015255,2795.014,5.976757,30.4756,21.5495,0.04949568,0.04082276,2.3087,25.0566,171.4297,0.02140939,179.2811,0.02182009,-467.5692,76.23203,0.163039,1.003792,-8.61596,0.002324389,0.002319055,8680.64,14291.4,-9.846379,-10.38769,3,5,0.007900821,0.01970893,-0.005260472,0.01892444,0.008015085,0.01274251,-0.04469813,0.01411739,13,0,10,0,0.2975827,2
1.116781,2749.798,4.795969,24.45474,17.29211,0.05383053,0.03007575,2.780317,17.01145,171.4266,0.01735091,179.2635,0.0177639,-461.0288,58.86964,0.1276919,1.027997,-8.598252,0.001895749,0.001891502,14291.4,14291.4,-10.38769,-10.38769,5,5,0.002342698,0.01411085,-0.01264674,0.01365702,0.007239222,0.01038882,-0.02805869,0.01050075,13,0,10,0,0.1287815,2
1.228459,2700.506,4.248947,21.66547,15.3198,0.05716282,0.02359895,3.197273,12.59148,171.4223,0.01497629,179.2438,0.01538606,-471.4009,51.26819,0.1087571,1.052786,-8.578612,0.001709278,0.001707358,14291.4,14291.4,-10.38769,-10.38769,5,5,-0.002503909,0.009887089,-0.01836162,0.00970811,0.00645168,0.008594004,-0.01356186,0.008302522,13,0,10,0,0.1810867,2
